"participant","date_post","spk_accent","spk_bilingual","spk_ease","spk_fluency_1","spk_lang_1","spk_percep","spk_region","spk_accent_strength","spk_accent_type","spk_fluency_2","spk_lang_2","spk_sub_region","spk_country","variability","similarity","match_list","order","speaker"
"6074b929f753216d88c77e88",2023-09-08 01:20:24,"Yes","Yes",3,5,"Russian",3,"Europe",4,"[""acc_l2""]",3,"English","Eastern",NA,"invariant","control",3,"order2",3
"610c42860e3a1a52be2b77da",2023-09-07 23:53:47,"Yes","Yes",3,1,"Standard Arabic",3,"Europe",4,"[""acc_ex"",""acc_l2""]",4,"English","Northern",NA,"invariant","control",3,"order2",3
"63d81e2fb6c8f0da25fea602",2023-09-08 00:24:03,"Yes","Yes",3,4,"Russian",3,"Europe",4,"[""acc_ex""]",3,"English","Northern",NA,"variant","similar",3,"order2",3
"55c694e3fdf99b6c4f28595f",2023-09-08 00:32:14,"Yes","Yes",3,5,"Russian",3,"Europe",5,"[""acc_social"",""acc_l2""]",3,"English","Eastern",NA,"variant","dissimilar",3,"order2",3
"5ec6df52f52d1111598b1221",2023-09-08 01:08:59,"Yes","Yes",3,4,"Spanish",4,"Americas",3,"[""acc_l2""]",3,"English","Central","Mexico","invariant","similar",3,"order2",3
"5d3695969749cc00165c222f",2023-09-08 01:06:19,"Yes","Yes",3,1,"Hindi",3,"Asia",4,"[""acc_l2"",""acc_slp"",""acc_social""]",3,"Hindi","Southern",NA,"variant","control",3,"order2",3
"55a75835fdf99b26395fae40",2023-09-08 01:11:34,"Yes","Yes",3,5,"Spanish",4,"Americas",4,"[""acc_l2"",""acc_social""]",4,"English","Central","Mexico","invariant","control",3,"order2",3
"5dbf704fa3f5cb40876271fc",2023-09-08 01:25:34,"Yes","Yes",2,4,"Hindi",3,"Asia",4,"[""acc_l2"",""acc_social""]",2,"Standard Arabic","Central",NA,"invariant","similar",3,"order2",3
"5fadd628cd4e9e1c42dab969",2023-09-08 01:24:30,"Yes","Yes",4,5,"Hindi",4,"Asia",3,"[""acc_ex""]",4,"English","Southern",NA,"invariant","control",3,"order2",3
"60220af9eeca542c5042d457",2023-09-08 00:57:18,"Yes","Yes",3,4,"None of these",3,"Africa",4,"[""acc_social"",""acc_l2"",""acc_ex""]",5,"English","Northern",NA,"variant","control",3,"order2",3
"5ec0ba1bfa01894cceaa1b8e",2023-09-08 00:57:31,"Yes","Yes",3,5,"Russian",3,"Europe",4,"[""acc_l2""]",3,"English","Western",NA,"variant","dissimilar",3,"order2",3
"631664e2a5d07c0ad889cf91",2023-09-08 01:06:00,"Yes","Yes",2,5,"Russian",2,"Europe",4,"[""acc_l2"",""acc_ex"",""acc_social""]",2,"English","Eastern",NA,"variant","control",3,"order2",3
"5af835d8e19f8c00019e6dc0",2023-09-08 01:11:51,"Yes","Yes",4,3,"Mandarin",4,"Asia",3,"[""acc_social""]",4,"English","Central",NA,"invariant","control",3,"order2",3
"63ea5b93d1c6d38e1f57dcfa",2023-09-08 01:13:10,"Yes","Yes",3,5,"Russian",3,"Europe",4,"[""acc_l2""]",5,"French","Eastern",NA,"variant","dissimilar",3,"order2",3
"614e2b2bd900d5f91096ac12",2023-09-08 01:36:37,"Yes","Yes",2,5,"Spanish",4,"Europe",4,"[""acc_l2""]",4,"English","Eastern",NA,"variant","similar",3,"order2",3
"581d38509b5b8800014d507e",2023-09-08 03:09:49,"Yes","Yes",3,5,"Spanish",4,"Americas",4,"[""acc_l2""]",4,"English","Southern","Colombia","variant","dissimilar",3,"order2",3
"60fcc00af3ec0d2d4b95c4be",2023-07-19 21:23:45,"Yes","Yes",4,5,"Portuguese",5,"Americas",3,"[""acc_l2"",""acc_ex""]",2,"Mandarin","Southern","Brazil","variant","dissimilar",2,"order3",4
"5f1cba909780db13786ebe77",2023-07-19 21:37:04,"Yes","Yes",3,4,"None of these",4,"Asia",3,"[""acc_social""]",4,"English","Southeastern",NA,"variant","control",1,"order3",4
"615a0ac5438649c5134564f1",2023-07-19 21:52:32,"Yes","No",3,4,"Hindi",4,"Europe",3,"[""acc_l2""]",NA,NA,"Northern",NA,"variant","similar",2,"order3",4
"6400d8d5cc4ede5d5619eb4f",2023-07-19 21:42:45,"Yes","Yes",2,4,"Spanish",3,"Americas",4,"[""acc_ex"",""acc_social"",""acc_l2""]",3,"English","Southern","Chile","invariant","similar",2,"order3",4
"5751d7ab330ae900070385c2",2023-07-19 19:59:36,"Yes","Yes",3,1,"Mandarin",3,"Asia",3,"[""acc_l2"",""acc_social""]",4,"Mandarin","Central",NA,"invariant","similar",2,"order3",4
"6108781e0d1dd936d2b75432",2023-07-19 21:51:20,"Yes","Yes",4,5,"Russian",4,"Asia",3,"[""acc_ex"",""acc_social"",""acc_l2""]",3,"English","Central",NA,"variant","dissimilar",2,"order3",4
"61351c3a1e3e96156bc86116",2023-07-19 19:51:41,"Yes","Yes",3,3,"French",3,"Europe",4,"[""acc_l2""]",3,"English","Eastern",NA,"variant","control",2,"order3",4
"60ef44f89b4d67be02d8eca9",2023-07-19 21:53:30,"Yes","Yes",5,5,"Hindi",5,"Asia",4,"[""acc_l2"",""acc_ex""]",3,"English","Southern",NA,"invariant","dissimilar",1,"order3",4
"5fd5381b5807b616d910c586",2023-07-19 21:04:34,"Yes","Yes",2,5,"Spanish",2,"Americas",4,"[""acc_ex"",""acc_social"",""acc_l2""]",4,"English","Central","Mexico","variant","dissimilar",1,"order3",4
"5eb81d360943fe74d6aba62b",2023-07-19 21:40:08,"Yes","No",2,3,"Spanish",3,"Americas",4,"[""acc_l2""]",NA,NA,"Central","Mexico","variant","similar",1,"order3",4
"5ec67c1f9d0f0906b783865f",2023-07-19 21:36:22,"Yes","Yes",2,5,"Hindi",3,"Asia",4,"[""acc_l2""]",4,"English","Southern",NA,"variant","similar",1,"order3",4
"60e7044ddc2523fab6cbc0cd",2023-07-19 21:54:06,"Yes","Yes",3,1,"Spanish",3,"Americas",3,"[""acc_l2""]",5,"English","Central","Mexico","variant","control",1,"order3",4
"62e02b1ed5b0fbc1b1dc09e7",2023-07-19 21:50:40,"Yes","No",2,5,"Russian",3,"Europe",4,"[""acc_l2""]",NA,NA,"Eastern",NA,"variant","control",1,"order3",4
"616d0c1b16a0437469b6cd74",2023-07-19 20:53:24,"Yes","Yes",4,5,"Mandarin",4,"Asia",4,"[""acc_ex""]",4,"English","Southeastern",NA,"variant","dissimilar",2,"order3",4
"63655ebbb1b1d02244d46c45",2023-07-19 22:03:49,"No","Yes",3,4,"Russian",3,"Europe",NA,NA,3,"English","Northern",NA,"variant","dissimilar",1,"order3",4
"6400db7df5056f80cbbdf386",2023-07-19 21:19:18,"Yes","Yes",3,4,"Mandarin",3,"Asia",3,"[""acc_l2"",""acc_social""]",3,"English","Southeastern",NA,"variant","dissimilar",1,"order3",4
"590f901cdcc7b30001eed302",2023-07-19 21:29:46,"Yes","Yes",2,5,"Mandarin",2,"Asia",4,"[""acc_l2""]",3,"English","Western",NA,"variant","control",1,"order3",4
"632096b5574155e8727c50cc",2023-07-19 21:32:25,"Yes","Yes",2,5,"Standard Arabic",3,"Asia",5,"[""acc_l2""]",4,"English","Western",NA,"variant","similar",2,"order3",4
"628494ff07588fd08c37117b",2023-07-19 21:42:15,"Yes","Yes",3,5,"Spanish",3,"Europe",5,"[""acc_l2""]",3,"English","Southern",NA,"variant","dissimilar",1,"order3",4
"61082ceb08c185b7f1f61331",2023-07-19 21:39:58,"Yes","Yes",1,5,"Portuguese",2,"Europe",5,"[""acc_l2""]",3,"English","Eastern",NA,"variant","similar",2,"order3",4
"63de2e4a0c6fd41343f82a79",2023-07-20 01:40:01,"Yes","Yes",2,5,"Mandarin",2,"Asia",4,"[""acc_ex"",""acc_social"",""acc_l2"",""acc_slp""]",2,"English","Eastern",NA,"variant","control",2,"order3",4
"60f5d5e358c70ad7a534bc50",2023-07-19 21:42:43,"Yes","Yes",3,5,"Spanish",3,"Americas",4,"[""acc_l2""]",3,"English","Southern","Colombia","invariant","dissimilar",2,"order3",4
"5dd9923922749791b319fc19",2023-07-19 22:03:55,"Yes","Yes",3,5,"Bengali",4,"Asia",5,"[""acc_social""]",3,"English","Southeastern",NA,"variant","dissimilar",2,"order3",4
"613461a8b9035cf9b29ad84d",2023-07-19 21:46:58,"Yes","Yes",2,5,"Hindi",3,"Asia",4,"[""acc_l2""]",4,"English","Southern",NA,"variant","dissimilar",1,"order3",4
"5afa19a4f856320001cf920f",2023-07-19 21:51:12,"Yes","Yes",3,5,"Mandarin",3,"Asia",3,"[""acc_l2""]",4,"English","Eastern",NA,"invariant","dissimilar",2,"order3",4
"5bc0ac845a09ea00012e2d30",2023-07-19 04:58:32,"Yes","Yes",3,5,"Standard Arabic",3,"Africa",4,"[""acc_ex"",""acc_l2""]",4,"English","Northern",NA,"variant","control",1,"order3",4
"5ccc60abe787e000167f8143",2023-07-19 21:55:40,"Yes","Yes",3,3,"Hindi",4,"Africa",5,"[""acc_l2""]",3,"English","Southern",NA,"variant","dissimilar",2,"order3",4
"6282566b46de7431f04213f6",2023-07-20 00:06:28,"Yes","Yes",3,5,"Standard Arabic",3,"Asia",3,"[""acc_l2""]",4,"English","Eastern",NA,"variant","control",2,"order3",4
"60fcdfac81bec43078236e55",2023-07-20 01:06:59,"Yes","Yes",4,5,"Standard Arabic",4,"Africa",4,"[""acc_ex"",""acc_l2""]",5,"English","Eastern",NA,"variant","control",2,"order3",4
"60f75bfcee2ff53ef6a14c89",2023-07-20 00:17:39,"Yes","Yes",2,5,"Hindi",3,"Asia",4,"[""acc_ex"",""acc_l2""]",4,"English","Southern",NA,"variant","dissimilar",2,"order3",4
"5eedaabd4b84b8000b78b0b5",2023-09-08 20:29:19,"Yes","Yes",2,4,"Standard Arabic",2,"Oceania",5,"[""acc_ex""]",4,"Standard Arabic","Polynesia",NA,"variant","similar",3,"order3",4
"596fea64a5c32a0001584755",2023-09-08 20:32:22,"Yes","Yes",2,5,"Spanish",2,"Americas",5,"[""acc_ex""]",3,"English","Southern","Brazil","invariant","similar",3,"order3",4
"63d83a19b8acced30d2e0d32",2023-09-08 21:51:34,"Yes","Yes",3,4,"Mandarin",3,"Asia",4,"[""acc_ex"",""acc_social"",""acc_l2""]",3,"English","Western",NA,"variant","dissimilar",3,"order3",4
"5f00ec86304f7322eb8dfa41",2023-09-08 20:00:50,"Yes","Yes",2,5,"Russian",3,"Europe",5,"[""acc_social"",""acc_l2""]",4,"English","Eastern",NA,"invariant","dissimilar",3,"order3",4
"5efec7794ff2093d25ffa6d0",2023-09-08 19:25:55,"Yes","Yes",2,4,"French",3,"Europe",5,"[""acc_ex""]",4,"Bengali","Northern",NA,"variant","control",3,"order3",4
"63e52399159a69bf0ea848c6",2023-09-08 20:22:11,"Yes","Yes",2,5,"Spanish",4,"Americas",4,"[""acc_ex"",""acc_social"",""acc_l2""]",4,"Portuguese","Southern","Brazil","invariant","similar",3,"order3",4
"60e21c244ee73fb4d76e7f74",2023-09-08 20:31:04,"Yes","Yes",3,4,"Spanish",3,"Americas",4,"[""acc_l2""]",4,"English","Central","Mexico","variant","control",3,"order3",4
"58635484a73baa00010db537",2023-09-08 20:41:07,"Yes","Yes",3,5,"French",3,"Europe",4,"[""acc_ex""]",4,"English","Southern",NA,"invariant","similar",3,"order3",4
"63d8766016c0bfcd19d3c732",2023-09-08 19:39:21,"Yes","Yes",2,3,"Standard Arabic",3,"Oceania",4,"[""acc_l2"",""acc_ex""]",3,"English","Polynesia",NA,"variant","dissimilar",3,"order3",4
"5f4a835e9e84256238129995",2023-09-08 20:08:06,"Yes","Yes",3,5,"Mandarin",3,"Asia",5,"[""acc_ex"",""acc_social""]",4,"English","Eastern",NA,"variant","control",3,"order3",4
"5efe8c25e921d23a9daec079",2023-09-08 20:15:03,"Yes","Yes",3,4,"Bengali",3,"Europe",5,"[""acc_l2"",""acc_ex""]",3,"English","Eastern",NA,"variant","control",3,"order3",4
"648b17e9f65b263c62471c85",2023-09-08 20:27:45,"Yes","Yes",3,3,"None of these",4,"Americas",4,"[""acc_social""]",5,"English","Southern","Chile","variant","dissimilar",3,"order3",4
"600cb9f465eb1c40307723a8",2023-09-08 20:37:10,"Yes","Yes",3,5,"Standard Arabic",3,"Asia",4,"[""acc_social"",""acc_l2"",""acc_slp""]",3,"English","Western",NA,"invariant","control",3,"order3",4
"62cca376ba1d7ea6a18d1d6c",2023-09-08 20:32:56,"Yes","Yes",3,5,"Mandarin",3,"Asia",3,"[""acc_l2""]",3,"English","Eastern",NA,"invariant","control",3,"order3",4
"63bc9e8cd8106f8d94c636d4",2023-09-08 20:45:47,"Yes","Yes",2,3,"Standard Arabic",2,"Asia",2,"[""acc_l2""]",2,"English","Western","United States of America","invariant","similar",3,"order3",4
"5f5ab115b8e6411bcb5dadf1",2023-09-08 21:18:39,"Yes","Yes",3,5,"Bengali",3,"Asia",3,"[""acc_ex""]",4,"English","Southeastern",NA,"invariant","control",3,"order3",4
"5e5080883771350caf2d9fda",2023-09-08 21:26:10,"Yes","Yes",3,5,"Hindi",3,"Asia",4,"[""acc_l2"",""acc_ex"",""acc_social""]",3,"English","Southern",NA,"invariant","similar",3,"order3",4
"6316212c1109a3b1bac89fe6",2023-09-08 21:42:56,"Yes","Yes",3,5,"Portuguese",4,"Europe",5,"[""acc_l2""]",4,"English","Eastern",NA,"variant","control",3,"order3",4
"614bbefcf812159d1f0bc2e3",2023-09-09 03:27:26,"Yes","Yes",3,5,"Portuguese",3,"Europe",3,"[""acc_ex""]",5,"Portuguese","Western",NA,"variant","control",3,"order3",4
"645a6d7feec0c7415d240d95",2023-09-09 16:30:00,"Yes","No",3,1,"Spanish",3,"Americas",4,"[""acc_l2""]",NA,NA,"Southern","Argentina","variant","control",3,"order3",4
"631659ad8e5354f16aef7249",2023-07-20 03:05:59,"Yes","Yes",3,5,"Hindi",4,"Asia",5,"[""acc_ex"",""acc_l2""]",5,"English","Western",NA,"variant","similar",2,"order4",5
"615dd1eb2702a672f7db49f1",2023-07-20 04:11:07,"Yes","Yes",3,5,"Hindi",3,"Asia",3,"[""acc_l2"",""acc_social""]",4,"English","Central",NA,"variant","control",2,"order4",5
"5c59e6519dd64d00018adaa8",2023-07-20 05:20:04,"Yes","No",2,3,"Mandarin",3,"Asia",3,"[""acc_social""]",NA,NA,"Eastern",NA,"invariant","similar",1,"order4",5
"5ebb4e079797f9127c0f03ab",2023-07-20 05:26:28,"Yes","Yes",3,5,"Hindi",3,"Asia",3,"[""acc_ex"",""acc_social"",""acc_l2""]",4,"English","Western",NA,"invariant","dissimilar",2,"order4",5
"610ec31b33de16c5167f3062",2023-07-20 05:26:27,"Yes","Yes",1,3,"Standard Arabic",2,"Europe",5,"[""acc_ex""]",3,"English","Eastern",NA,"variant","control",2,"order4",5
"5a1efc2b517dfb00013dd370",2023-07-20 05:31:14,"Yes","Yes",2,4,"Spanish",3,"Americas",4,"[""acc_l2""]",2,"English","Southern","Brazil","variant","similar",2,"order4",5
"5b4d41e13d01bd0001ec46c2",2023-07-20 05:36:48,"Yes","Yes",1,5,"Russian",3,"Europe",5,"[""acc_ex"",""acc_l2"",""acc_slp""]",2,"English","Eastern",NA,"variant","dissimilar",2,"order4",5
"5d74001d391b6600175f433b",2023-07-20 05:30:55,"Yes","Yes",2,5,"Mandarin",2,"Asia",5,"[""acc_l2""]",3,"English","Eastern",NA,"variant","similar",2,"order4",5
